Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Learning Excel: Data Analysis,"Microsoft Excel is an important tool for data analysis. It helps companies accurately assess situations and make better business decisions. This course helps you unlock the power of your organization's data using the data analysis and visualization tools built into Excel. Author Curt Frye starts with the foundational concepts, including basic calculations such as mean, median, and standard deviation, and provides an introduction to the central limit theorem. He then shows how to visualize data, relationships, and future results with Excel's histograms, graphs, and charts. He also covers testing hypotheses; modeling different data distributions; calculating the covariance and correlation between data sets; and calculating probabilities, combinations, and permutations. Finally, he reviews the process of calculating Bayesian probabilities in Excel. Each chapter includes practical examples that show how to apply the techniques to real-world business problems.",Course,2023-01-01 09:10 UTC,N/A,false,N/A,
Learning Python,"Python—the popular and highly-readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2023-03-18 07:53 UTC,N/A,false,N/A,
SOLIDWORKS: Design for Mechatronics,"SOLIDWORKS is the leading software for mechanical design and engineering. However, it also offers a powerful toolset for generating mechatronic designs, or designs that combine mechanical and electrical components. In this course, Justin Flett teaches the basics of mechatronic design in SOLIDWORKS, walking through a complete, simplified project for a robotic arm. As the project progresses, he examines advanced tools for plastics and casing design, including drafts, shells, ribs, and mounting bosses, which are common elements in mechatronic enclosures and housing. Then Justin shows how to complete assemblies, including integrating imported motors and printed circuit board (PCB) components. Plus, learn how to route cables and wires in your project and generate final output, such as drawing, STEP, and PDF files.",Course,2021-10-12 14:12 UTC,N/A,false,N/A,
C++ Essential Training,"Whether you are a beginning programmer or an advanced one, it may be time to level up your C++ skills. In this course, Bill Weinman helps you do exactly that. Bill discusses the history of C++ and modern C++, as well. He explains the C++ toolchain, then dives into basics you need to know, like basic syntax, statements and expressions, identifiers, variables, pointers, and references. Bill discusses flow control conditionals, loops, and functions. He deep dives into data types, operators, and functions, then walks you through how to use classes and objects. Plus, Bill covers how to to use templates, including the Standard Template Library (STL).
<br><br>
Note: This course was created by Bill Weinman. We are pleased to host this training in our library.",Course,2022-12-07 15:13 UTC,N/A,false,N/A,
Git Essential Training,"If you’ve ever wondered why someone should use Git or how to use it for version control, this is a great course to get started. Azure MVP and GitHub Star Barbara Forbes guides you through the installation process, the Git workflow, setting up and pushing code into a repo, and committing changes, all with a focus on version control and how Git can help you achieve it. Find out why people use Git. Learn how Git works, locally or through a provider, and how you can get it installed, configured, and running the way you need it to work. Follow the full process of pushing your code with Git, then explore ways to make changes to files. Discover important concepts in Git, like how to ignore files you don’t want to include, how branching can help you with development, what should be in a commit, and how to troubleshoot if you get into trouble. Plus, get current instruction on using GitHub Star and Microsoft MVP.",Course,2023-04-26 18:47 UTC,N/A,false,N/A,
CSS Essential Training (2019),"Cascading Style Sheets (CSS) is a stylesheet language that allows you to control the appearance of your webpages. In this hands-on course, Christina Truong demonstrates the concepts that form the foundation of CSS, explaining what you need to know to tweak existing CSS and write your own. Christina explains how to add colors and other design elements to take your webpages beyond just black text on a white background. She shows how to use selectors, how the box model defines the spacing and sizing of page elements, and how to style text and manage basic layouts with Flexbox and Grid. She also covers working with advanced selectors, creating fluid layouts, and determining when to use the float and position properties. Plus, at the end of the course, you'll walk away with an actual project—an online résumé page.",Course,2021-01-10 09:24 UTC,N/A,false,N/A,
React.js: Building an Interface,"React is a JavaScript library with reusable components and a unique data rendering approach. Web interfaces that you create with React are flexible, fast, and lightweight. In this course, instructor Ray Villalobos reviews component architecture in React and covers key skills that you need to be able to build interfaces. Ray steps through how to install React and get started with components, debugging, and variables. He explains how you can pass data to a component, use the useState hook and conditional classes, and toggle items by passing the state to a sub-component and using values to hide or show sub-components. Ray describes how you can delete records, search with a filtered array, set up a sort, and more. He shows how you can finish up your application by creating the code for adding appointments.",Course,2022-03-02 17:18 UTC,N/A,false,N/A,
Python Essential Training,"Python is one of the most commonly used dynamic languages for many large organizations, including Google, Yahoo and IBM. Supported on all major operating systems, it comes pre-installed on Macs, as well as most Linux and Unix-based systems. In this course, senior software engineer Ryan Mitchell guides you through all the essentials of learning and using Python. Learn how computers think, as well as how to install Python, pip, and Jupyter Notebook and the basics of writing a program. Explore variables and types, operators, functions, classes, objects, and more. Go over basic data types like ints and floats, Booleans, and strings. Deep dive into basic data structures, control flow, functions, classes, and objects. Find out how to handle errors and exceptions, as well as threads and processes. Plus, discover how to work with different types of files in Python, pass command-line arguments to your Python script, and create modules and packages.",Course,2023-10-20 16:20 UTC,N/A,false,N/A,
C# and .NET Essential Training,"Microsoft .NET is a modern, cross-platform framework for developing applications for the web, desktop, and mobile devices. This course gives an introduction to some of the features of .NET that makes building applications easier, more performant, and more productive. Veteran technologist Joe Marini demonstrates how to use built-in capabilities of .NET such as string processing, data collection types, number and date formatting, reading and writing files, and even working with regular expressions. By using these built-in features, developers can focus on their core application logic and less on having to build common capabilities from scratch.",Course,2023-04-05 19:12 UTC,N/A,false,N/A,
Java Exception Handling,"As you build any application, you can’t just assume that everything will run as expected. There are so many things that could cause your applications to not function properly or even crash. This course aims to teach developers how to handle such unforeseen scenarios in applications. Join instructor Cecili Reid as she teaches you the different types of exceptions, how to handle exceptions, and how to test an application to ensure it handles exceptions as expected. Cecili uses a sample Spring Boot web app as a case study and walks through practical scenarios where you’d want to use exception handling in that application. She starts with an initial application that doesn’t have exception handling mechanisms, and as she walks through each concept, she shows you how to improve the application by applying the concepts taught in each chapter. Cecili also shares some best practices to follow when handling exceptions in your applications.",Course,2023-04-04 20:03 UTC,N/A,false,N/A,
Java: Data Structures,"Data structures are used in almost all applications, so developers need to know what they are and how to use the most common ones. In this course, instructor Bethan Palmer explains what data structures in Java are and what you can do with some of the most common types. After giving some definitions, Bethan presents what you should consider when choosing a data structure, such as different levels of speed and performance. She shows you what arrays are and the pros and cons of using them, then walks you through how to create arrays and perform operations on them. Then Bethan dives into Java Collections, starting with the Collection interface. Most data structures in Java implement the Collection interface, so understanding what it is and how it works is key. Bethan goes over stacks, queues, and TreeSets, then concludes with a challenge and solution set exploring how to create and perform operations on some Java Collections.",Course,2022-12-07 15:16 UTC,N/A,false,N/A,
Learning Spring with Spring Boot (2019),"Spring is the hugely popular framework for developing Java applications in the enterprise space. In this course, discover how to leverage Spring Boot, which takes an opinionated view of the Spring platform. Follow Frank Moley as he walks through how to use Spring Boot to quickly and efficiently develop a practical, enterprise-style web application. As Frank explains how to develop the app, he helps to familiarize you with the general Spring framework. Plus, Frank dives into some of the basic projects of Spring that you can use to develop Java-based applications.",Course,2021-07-16 14:32 UTC,N/A,false,N/A,
Data Science Foundations: Fundamentals (2019),"Data science is driving a world-wide revolution that touches everything from business automation to social interaction. It’s also one of the fastest growing, most rewarding careers, employing analysts and engineers around the globe. This course provides an accessible, nontechnical overview of the field, covering the vocabulary, skills, jobs, tools, and techniques of data science. Instructor Barton Poulson defines the relationships to other data-saturated fields such as machine learning and artificial intelligence. He reviews the primary practices: gathering and analyzing data, formulating rules for classification and decision-making, and drawing actionable insights. He also discusses ethics and accountability and provides direction to learn more. By the end, you’ll see how data science can help you make better decisions, gain deeper insights, and make your work more effective and efficient.",Course,2022-03-28 14:18 UTC,N/A,false,N/A,
DevOps Foundations (2016),"DevOps is not a framework or a workflow. It's a culture that is overtaking the business world. DevOps ensures collaboration and communication between software engineers (Dev) and IT operations (Ops). With DevOps, changes make it to production faster. Resources are easier to share. And large-scale systems are easier to manage and maintain.<br><br>

In this course, well-known DevOps practitioners Ernest Mueller and James Wickett provide an overview of the DevOps movement, focusing on the core value of CAMS (culture, automation, measurement, and sharing). They cover the various methodologies and tools an organization can adopt to transition into DevOps, looking at both agile and lean project management principles and how old-school principles like ITIL, ITSM, and SDLC fit within DevOps.<br><br> 

The course concludes with a discussion of the three main tenets of DevOps—infrastructure automation, continuous delivery, and reliability engineering—as well as some additional resources and a brief look into what the future holds as organizations transition from the cloud to serverless architectures.",Course,2021-11-13 11:54 UTC,N/A,false,N/A,
C# & .NET: Programming,"If you've programmed in C#, you've already used part of .NET. Microsoft's object-oriented language is an integral part of the framework. But there are many other features of .NET that can make your development workflow more productive and efficient. This training course will help you learn the essentials of .NET programming with C#—techniques that use .NET features to write richer, cleaner code. Alexander Zanfir explains how to use collections, make your app more responsive with async programming, assign and change class properties, optimize performance with multithreading, and inject data into strings. Plus, learn how to handle errors and manage application resources more efficiently with the using statement.",Course,2021-07-19 05:28 UTC,N/A,false,N/A,
iOS App Development: Essential Courses,"Have an idea for the next blockbuster app—but you've never written a line of code? Or do you want to transition your existing programming skills to the lucrative iOS market? We have training for anyone who wants to get started in iOS app development. Our library covers everything from beginner-level programming skills to advanced design pattern theory. This course will help you identify and find the right training for you.<br><br> 

With over 15 years of experience in the software industry, Mike Wong reviews the tools, language choices, and high-level concepts behind iOS app development. Dive in and learn about storage requirements, interface design, and the tricks to promoting iOS apps in a crowded marketplace. In each video, Mike will point you to training videos, articles, and forums for learning more.<br><br>

When you're done with this overview, make sure to subscribe to our curated playlist, Develop Apps for iPads and iPhones, which includes a selection of our most relevant iOS app development training.",Course,2022-12-07 15:23 UTC,N/A,false,N/A,
C Standard Library,"Get up to speed with the C standard library, the standardized library of functions available for the C programming language. This course covers over 60 of the most useful and popular functions, as grouped in the header files stdio.h, stdlib.h, stdint.h, string.h, and math.h. Instructor Eduardo Corpeño starts by reviewing the library's organization and familiarizing you with the header files and syntax. Then he shows how to accomplish a variety of tasks with the library: processing input and output, managing application memory, generating random numbers, sorting and searching for data, manipulating text strings, and performing math. Each chapter includes numerous examples that show the functions in practice, along with programming challenges that allow you to test your new knowledge and skills.",Course,2020-07-13 21:51 UTC,N/A,false,N/A,
Secure Coding in Java,"The enduring popularity of Java makes it a target for bad actors. And its prevalence in internal enterprise applications—which are vulnerable to attacks from employees with insider knowledge—renders secure coding practices even more critical. In this course, instructor Frank Moley helps advanced Java developers kick-start their secure coding journey, providing a high-level look at common attacks against Java applications, as well as how to prevent and defend against those threats. Frank discusses how to prevent SQL injection attacks, identify places where sensitive data is stored and avoid exposing it to the outside world, write code that protects the integrity of the system, and more. Along the way, he provides challenges that allow you to put your new skills to the test.",Course,2023-01-05 09:58 UTC,N/A,false,N/A,
Learning Java 11,"Java is one of the top five programming languages, and is used for websites, embedded controllers, and Android app development. Interested in learning how to code with Java? Join instructor Kathryn Hodge as she helps you get up and running with this popular language. Kathryn covers all the basics: Data types, strings, functions, and loops. She helps you control the flow and logic of your code, and debug your project to make sure it runs perfectly. Along the way, she provides real-world examples and introduces challenges that allow you to practice your new skills. This course is perfect for developers who need to get up to speed with Java fast, as well as for beginning programmers who want their first taste of this popular language.",Course,2021-03-23 18:26 UTC,N/A,false,N/A,
C++ Essential Training (2020),"Learn C++ programming, starting with the basics. Widely used for both systems and applications development, C++ is available for virtually every operating system and has influenced and informed many derivative languages, including C# and Java. In this course, Bill Weinman guides you through the nuts and bolts of this essential language. He helps you set up your environment for coding and dissects the anatomy of a basic C++ program. He reviews the essentials—statements and expressions, variables, conditionals, operators, loops, and functions—and moves on to more complex topics, such as data structures, classes and objects, and templates. Along the way, Bill explains concepts such as recursion, type casting, and operator overloads, and dives into the powerful container classes and algorithms in Standard Template Library (STL). These exhaustive tutorials provide a solid C++ reference for both experienced programmers and those who are brand new to the language.",Course,2022-04-19 02:53 UTC,N/A,false,N/A,
Java 11+ Essential Training,"If you want to build applications for mobile devices, desktop computers, or the web, you need to know Java. This course provides the foundation for learning how to program with the most recent Long-Term Support (LTS) release, Java SE 11, and more recent versions. David Gassner shows how to install Java and the IntelliJ IDEA Community Edition IDE and start working with variables, data types, and other critical language components. He also helps you control program flow with conditional logic and loops, store data with Java collections, and understand how Java implements object-oriented coding principles such as inheritance.",Course,2021-03-25 08:36 UTC,N/A,false,N/A,
C++ Design Patterns: Creational,"Design patterns solve the challenges software developers face over and over again. They are reusable, proven solutions that make your software more reliable and flexible to change. Creational design patterns move the creation of objects out of the main codebase and into separate classes-a best practice known as encapsulation. This course explores the five most popular creational design patterns for C++. To convince you of their merits, instructor Olivia Chiu first explains why we use design patterns in the first place, and what problems that creational patterns can help you solve. She then reviews the core concepts, implementation instructions, and examples for each pattern: Factory, Abstract Factory, Builder, Prototype, and Singleton. She also shows how to extend patterns and compare patterns to find the best fit for your applications.",Course,2020-08-07 19:48 UTC,N/A,false,N/A,
Nano Tips for Peak Performance with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, find out how to supercharge your performance, exploring key insights and techniques from peak performance researcher and behavioral strategist to Fortune 500 companies, Shadé Zahrai.  
<br><br>
Learn how to optimize your brain power, habits you can establish for success, and how you can set up a commitment to excellence to level up your career and performance for the long term.",Course,2023-04-10 12:53 UTC,N/A,false,N/A,
Data Science Foundations: Data Mining in Python,"Data mining is the area of data science that focuses on finding actionable patterns in large and diverse datasets: clusters of similar customers, trends over time that can only be spotted after disentangling seasonal and random effects, and new methods for predicting important outcomes. In this course, instructor Barton Poulson introduces you to data mining that uses the programming language Python. Barton goes over some preliminaries, such as the tools you may use for data mining. He discusses aspects of dimensionality reduction, then explains clustering, including hierarchical clustering, k-Means, DBSCAN, and more. Barton covers classification, including kNN and decision trees. He goes into association analysis and introduces you to Apriori, Eclat, and FP-Growth. Barton steps you through a time-series decomposition, then concludes with sentiment scoring and other text mining tools.",Course,2024-02-22 16:50 UTC,N/A,false,N/A,
After Effects Compositing: 6 Tracking and Stabilization,"Tracking is one of the most powerful ways to make your After Effects work more sophisticated, and one of the hardest to get right. The human eye has an uncanny ability to sense the accuracy of motion. But once you learn to take advantage of the automated 3D tracker, automated motion stabilizer, and 2D point tracker in After Effects—as well as third-party scripts and planar tracking with mocha—a world of possibilities is opened.<br><br> 

Here, Mark Christiansen shows how to use the five different After Effects trackers, customizing them to work best in the situations that motion graphics artists encounter most often. He covers the fundamentals, as well as opportunities to think outside the box, especially when an automated approach won't work.",Course,2020-04-03 16:50 UTC,N/A,false,N/A,
Introducing Desktop and .NET Core,"In this introductory course, learn how to create your very first WinForms or WPF application on .NET Core. First, instructor Olia Gavrysh discusses the difference between .NET Framework and .NET Core for desktop applications. Olia goes over how to create your first WinForms application targeting .NET Core 3 and explores the base components of the WinForms application. Olia also walks you through how to create your first WPF application targeting .NET Core 3 and explains the base components of the WPF application.<br><br>This course was created by Microsoft.NET. We are pleased to host this training in our library.",Course,2022-08-04 17:21 UTC,N/A,false,N/A,
Excel 2021 Essential Training (Office 2021/LTSC),"Excel, the popular spreadsheet program from Microsoft, is an essential tool for many professional roles. In this course, Jess Stratton shows you the ins and outs of the 2021 release. Jess begins with how to navigate Excel and how to create, open, and save a file. Next, she shows you how to enter, format, autofill, and edit text, as well as how to copy and delete cell data, merge cells, and more. Jess explains how to work with sheets, then dives into the myriad adjustments and customizations you can apply to rows and columns. Formulas are at the heart of Excel’s ability to perform text or number calculations, so Jess concludes by walking you through formulas and functions, including AutoSum and the very useful XLOOKUP.",Course,2021-10-31 15:28 UTC,N/A,false,N/A,
PHP Essential Training,"PHP is a popular programming language that you can use to write simple code for web pages. If you have been using HTML to develop websites, learning PHP will allow you to create dynamic pages. In this course, learn the fundamentals of PHP. Kevin Skoglund covers concepts such as how to embed PHP code into an HTML page, and reviews the basic PHP data types such as strings and arrays. He also covers the different control structures in PHP, how to work with built-in PHP functions, and how to define your own custom functions.",Course,2022-12-07 15:16 UTC,N/A,false,N/A,
Dan Ariely on Making Decisions,"What happens in your brain when you make a decision? When should you use your intuition? How do you make a decision when the stakes are high, when someone will be negatively impacted, when there’s too much or too little information, or when you need to involve your whole team in the decision-making process? And how can you stop procrastinating making a decision? In this course, Dan Ariely—social scientist, beloved professor, and best-selling author of seven books—answers the most-pressing questions about decision-making, based on insights from his extensive research.",Course,2022-03-10 12:43 UTC,N/A,false,N/A,
Hands-On AI: Build a Generative Language Model from Scratch,"You’ve heard about AI and its applications. You’ve probably used AI—maybe without even realizing it. Now, take a deep dive into AI in this hands-on course by building your own AI from scratch. Instructor Ronnie Sheer first guides you through a short project: the creation of a text completion model similar to the autocomplete function on a smartphone. He then shows you how to build a model that filters out hateful comments on social media. Plus, Ronnie demonstrates how you can use lyrics from your favorite songs to generate new, thematically similar lyrics.",Course,2024-01-07 18:55 UTC,N/A,false,N/A,
Program Databases with Transact-SQL,"This course focuses on a single category of objects within a SQL Server database: Programmability objects. With these objects, database developers can automate systems with triggers, ensure consistent user experiences with stored procedures, protect database integrity with transactions, and implement error-handling routines that enhance the database’s functionality. Join instructor Adam Wilbert as he takes a deep dive into the Programmability folder in a SQL Server database. Using real-world examples, he explores the types of objects that can be deployed to automate systems and maintain database integrity. To follow along, you just need some familiarity with the functionality of a relational database, as well as how to write Transact-SQL (T-SQL) queries.",Course,2023-06-20 14:37 UTC,N/A,false,N/A,
SQL Essential Training (2019),"Knowing how to code and manage relational databases and database-driven applications is a valuable skill for any career in tech. Completely updated for 2019, <i>SQL Essential Training</i> is designed to help users understand the most common language for database wrangling, SQL. All the lessons have been recorded in SQLiteStudio, an intuitive and easy-to-install database manager. Instructor Bill Weinman teaches all the major features of SQL: creating tables; defining relationships; manipulating strings, numbers, and dates; using triggers to automate actions; and using subselects and views. He offers a solid working knowledge of the language and shows how to retrieve and manage data efficiently. The final chapter includes a real-world example of building a simple application using SQL.<br><br>

This course was created by Bill Weinman. We are pleased to offer this training in our library.",Course,2021-01-27 03:44 UTC,N/A,false,N/A,
Illustrator 2020 Essential Training,"Adobe Illustrator is the industry standard in vector drawing—for everything from minimalistic logos to full-blown illustrations. This course teaches core concepts and techniques that can be applied to any workflow, including digital and print publications. Instructor and professional illustrator Tony Harmer explains the essentials of Illustrator 2020, including artboards, workspaces, layers, and shapes. Tony shows how to make selections, draw and build complex shapes using the Illustrator drawing tools, and precisely color artwork with tools like swatches and gradient fills. He also covers how to organize artwork into groups and layers, combine and clean up paths, work with type and effects, leverage CC Libraries, export your work, and much more.",Course,2021-09-02 19:26 UTC,N/A,false,N/A,
Learning C++ (2021),"C++ is one of the most powerful and widely used programming languages of all time. It is also one of the oldest programming languages in use today. In this course, learn the basic elements of this object-oriented programming language that moves the world. Instructor Eduardo Corpeño begins with setting up the development environment and introducing the basic elements of object-oriented programming. Eduardo covers data types such as variables, expressions, assignments, constants, and more. He explains structures, classes, pointers, vectors, and so on. After stepping through the control flow process and a variety of useful functions, Eduardo finishes up with detailed information on opening and working with files.",Course,2022-05-30 15:33 UTC,N/A,false,N/A,
pandas Essential Training,"pandas is an open-source library that provides high-performance, easy-to-use data structures, and data analysis tools for Python. In this intermediate-level, hands-on course, learn how to use the pandas library and tools for data analysis and data structuring. Instructor Jonathan Fernandes dives into topics such as DataFrames, basic plotting, indexing, and groupby. To help you learn how to work with data more effectively, Jonathan takes you through a series of exercises that are based on the same large, public data set: the Olympic medal winners from 1896 to 2008.",Course,2023-05-02 12:59 UTC,N/A,false,N/A,
Learning VBA in Excel (2019),"The Visual Basic for Applications (VBA) programming language allows you to automate routine tasks in Excel—and it's not as hard to learn as most people think. In this course, Excel expert Curt Frye offers a crash course on VBA, sharing techniques that can help users of Excel 2007 or later get more out of this powerful program. Curt covers creating subroutines and functions to hold code, and provides a solid grounding in the Excel object model. Programming techniques are demonstrated through real-world examples. Exercise files accompany the course.",Course,2020-07-13 21:55 UTC,N/A,false,N/A,
JavaScript: Web Form Programming,"Whether your users are ordering food or filling out a job application, web forms will play a role in collecting their information. And as a developer, you want to ensure that your users have a positive experience with your web app—and that the data you collect from them via web forms is clean. In this course, join instructor Joe Marini as he shares techniques for building modern web forms that return clean data and are easy for users to understand, navigate, and complete. Learn how to enhance your forms by properly using labels and implementing keyboard shortcuts. Plus, explore how to dynamically control form field behavior, leverage different validation approaches, and support autofill and autocomplete.",Course,2021-01-16 19:07 UTC,N/A,false,N/A,
HTML Essential Training,"Hypertext Markup Language (HTML) is the foundation of website and web application development. It allows you to ensure that your content is understood by both segments of your audience: the people who watch, read, or listen to your content, and the computers that display it. In this course, learn how to craft excellent HTML with the pieces that HTML itself has to offer. Instructor Jen Simmons highlights all of the fundamental concepts you need to use HTML thoughtfully. She focuses on semantic markup: tagging content as what it is, and not just for formatting, convention, or convenience. This has far-reaching impact for those who consume the web differently; it ensures that when a screen reader or a system (like a search engine) consumes a page, it knows exactly what it contains and how to categorize that information.",Course,2023-04-26 18:50 UTC,N/A,false,N/A,
"How to Work Smarter, Not Harder: Save Time and Money and Increase Productivity","More and more people are working from home, managing remote teams, and juggling multiple projects. The time is now to learn how to work smarter, not harder. Luckily, today’s technology makes it easier than ever to increase productivity and efficiency. This course is for anyone trying to grow their business or move ahead in their career without becoming overwhelmed. Chelsea Krost provides tangible tips, tools, and techniques to increase overall productivity and give you back precious time in the day. Learn how to embrace the mindset of successful entrepreneurs and small business owners, manage your time effectively, tackle your to-do list, leverage automation and delegation, and power up your social media, content marketing, and branding strategies to direct more attention and traffic to your business. Each tool and workflow has been tested by Chelsea and her clients—and the skills taught apply to any industry. Start watching and working smarter today.",Course,2021-01-11 20:12 UTC,N/A,false,N/A,
Microsoft SQL Server 2022 Essential Training,"This course with database expert Adam Wilbert introduces you to creating relational databases with SQL Server and the graphical interface, SQL Server Management Studio. Adam walks you through your first steps in the newest edition of Microsoft's database management system. He takes a detailed look at creating efficient tables and adding rows of data, importing existing tabular data from spreadsheets, and writing queries to view and process that data. Adam also covers important database management tasks such as creating backups, securing access to sensitive information, and leveraging the capabilities of Microsoft’s Azure cloud infrastructure.",Course,2023-01-29 16:06 UTC,N/A,false,N/A,
Data Cleaning in Python Essential Training,"If you’re looking for more efficient ways to prepare your data for analysis, it’s time to level up your skill set and reassess your approach to data cleaning. In this course, instructor Miki Tebeka shows you some of the most important features of productive data cleaning and acquisition, with practical coding examples using Python to test your skills. Learn about the organizational value of clean high-quality data, developing your ability to recognize common errors and quickly fix them as you go. Along the way, Miki offers cleaning strategies that can help optimize your workflow, including tips for causal analysis and easy-to-use tools for error prevention.<br><br>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out the “Using GitHub Codespaces with this course” video to learn how to get started.",Course,2023-04-26 18:53 UTC,N/A,false,N/A,
